source_name,event_date,event_title,event_description,location_description,location_accuracy_km,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,event_import_source,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,gazetteer_distance,year,month,season,severity
Kathmandu Post,2016-06-07,"Thaladanda, Barhabise, Sindhupalchok, Nepal","Five huts were swept away by a landslide that struck the Thaladanda settlement in Barhabise VDC-4 in Sindhupalchok district on Tuesday night. Five people were injured.   The landslide has caused a great concern for the villagers who are still recovering from the destruction of last year’s earthquake. Bir Bahadur Paien said the landslide triggered by rainfall swept away his hut that he had built after losing his house to the earthquake. Bir Bahadur and his family escaped before the landslide buried their hut, but lost all their belongings and cattle. “We have nothing left now,” he said. Another quake survivor Bajra Bahadur Tamang also lost his shelter and cattle in the landslide. “ Barhabise VDC has provided tarpaulin sheets to the landslide victims for building temporary shelters.","Thaladanda, Barhabise, Sindhupalchok, Nepal",5.0,landslide,rainfall,2.0,natural,0.0,GLC,27.8027,85.9149,1,Bagmati,Barahbise,2.13,2016,6,monsoon,low
E-PAO,2015-07-31,Phungyar road,Massive landslide along the Phungyar road under Ukhrul District cut off Phungya Sub-Division from the rest the state on Friday.,Phungyar road,10.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,24.819,94.3551,0,Manipur,Chattrik,30.9,2015,7,monsoon,low
My Republica,2016-06-27,Narayangadh-Muglin road at Seti Dovan,The busy Narayangadh-Muglin road stretch was struck with yet another landslide at 5 am today blocking regular traffic.,Narayangadh-Muglin road at Seti Dovan,25.0,landslide,unknown,2.0,infrastructure,0.0,GLC,27.8178,84.4443,1,Narayani,Narayangarh,15.07,2016,6,monsoon,low
sify.com,2010-08-13,"Chandigarh-Shimla national highway (NH 22), near Parwanoo, Himachal pradesh","The National Highway Authority of India (NHAI) is widening the 40-km-long Chandigarh-Shimla national highway even as some environmentalists are calling the project an ecological disaster. It started the work between Parwanoo and Solan towns and is currently cutting the steep hills near Timber Trail Hotel on the outskirts of Parwanoo, the first town of the hill state located at the Haryana border.  'A moderate rainfall triggers massive landslides along the highway as the earth becomes loose due to the cutting of hills and the movement of road construction machines. This leads to traffic jams almost every day,' Dheeraj Bhaik, a daily commuter on the highway, said. 'It took me more than six hours to reach Shimla (from Chandigarh) last (Friday) evening. Usually, it's a four-hour journey. First, we were stuck near Parwanoo due to landslides ","Chandigarh-Shimla national highway (NH 22), near Parwanoo, Himachal pradesh",5.0,landslide,rainfall,2.0,unknown,0.0,GLC,30.8522,76.991,0,Himachal Pradesh,Kalka,5.58,2010,8,monsoon,low
NDTV,2015-07-24,Pithoragarh,"Incessant rainfall in all six hilly districts of Uttarakhand has brought life to a standstill with no signs of relief, according to the Meteorological Department.  A landslide in Pithoragarh brought down an entire house, crushing four cars and a motorcycle this morning, a police officer said.  No one was hurt, but the fact that it took place next to a school puts the school building in danger, he added.",Pithoragarh,5.0,landslide,rainfall,1.0,unknown,0.0,GLC,29.5863,80.2186,0,Uttaranchal,Pithoragarh,0.85,2015,7,monsoon,low
The Hindu,2016-07-01,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","At least five persons, including two women, were killed on Friday, while five others remained missing in a landslip that buried several houses in Arunachal Pradesh’s West Kameng district, which is being lashed by torrential rain.  The landslip occurred when a small hillock near the Old Inspection Bungalow caved in and buried several houses in Bhalukpong town, West Kameng district Superintendent of Police A. Koan said. While five bodies were retrieved from the debris, five others were still missing as rescue operation had to be suspended due to darkness.  Three rescued  The SP, who is camping at Bhalukpong to supervise rescue operations, said torrential rain in the past couple of days have triggered flood-like situation in the town bordering Assam.         Three persons have been rescued from the debris, but they have sustained serious injuries, he said.","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",1.0,landslide,rainfall,3.0,unknown,5.0,GLC,27.0136,92.6351,0,Arunachal Pradesh,Digbaljuli,19.37,2016,7,monsoon,medium
Business Standard,2015-08-20,Morha-Chuhara village in Billawar tehsil,"As many as 40 houses and a government school building were damaged in a landslide at Morha-Chuhara village in Billawar tehsil of Kathua district, following which Congress today demanded that the state government ensures early rehabilitation of the affected people.",Morha-Chuhara village in Billawar tehsil,5.0,landslide,unknown,2.0,unknown,0.0,GLC,32.6175,75.6157,0,Jammu and Kashmir,Madhopur,28.05,2015,8,monsoon,low
ibnlive.in,2011-07-09,Gangotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Gangotri,50.0,landslide,rainfall,2.0,unknown,0.0,GLC,30.7652,78.5925,0,Uttaranchal,Uttarkashi,15.03,2011,7,monsoon,low
DY365,2017-07-06,Landslide crushes house,"Landslide following persistent heavy rainfall crushes house, family escapes unhurt","Beltola, Assam State-Meghalaya State border, India",10.0,landslide,rainfall,2.0,unknown,0.0,GLC,26.10973183,91.80317334,0,Assam,Pomahi,6.94,2017,7,monsoon,low
Imphal Times,2017-07-10,Landslide near Molnom blocks road,Landslide after heavy rains strands state medical team responding to calls in remote villages,"NH-150, Churachandpur, Manipur, 795133",25.0,landslide,rainfall,1.0,infrastructure,0.0,GLC,24.37169581,93.70684171,0,Manipur,Mulam,20.6,2017,7,monsoon,low
