objectid,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date
1393,ibnlive.in,http://ibnlive.in.com/news/landslides-in-parts-of-idukki/156453-60-116.html,3557,1306800000000.0,,"Kulamavu region, Kerala","Jun 04, 2011   Heavy rain lashing the state has caused landslides at various parts of the district. … Another landslide was reported in the Kulamavu region on Thursday. No damage or casualty were reported as the landslide occurred in a remote area.","Kulamavu region, Kerala",10km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3557,9.8012,76.9006,India,IN,Kerala,Ramaouram,25.98,1396310400000.0,
1400,navhindtimes.com,http://www.navhindtimes.com/articles.php?Story_ID=090817,240,1189123200000.0,,"NH-17, Panaji to Mapusa on Old Mandovi bridge, Goa",disrupted traffic along bridge from landsliding,"NH-17, Panaji to Mapusa on Old Mandovi bridge, Goa",5km,landslide,rain,medium,unknown,8.0,,,,,GLC,240,15.5063,73.8362,India,IN,Goa,Mapuca,9.92,1396310400000.0,
1401,The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-12/landslide-obstructs-narayangadh-muglin-road-section-20170712172012.html,10881,1499875200000.0,16:00,Landslide along Narayangadh-Muglin road,"Landslide following continuous rains obstructs road, hundreds of vehicles stranded. Expected to be cleared after ~12hrs elapse since landslide.","Kabilas, Narayani",10km,landslide,continuous_rain,medium,above_road,0.0,0.0,,http://assets-cdn.ekantipur.com/images/third-party/miscellaneous/muglin-12072017054453-1000x0-12072017073523-1000x0.jpg,,GLC,,27.79280733,84.43347027,Nepal,NP,Narayani,Narayangarh,12.28,1499868317000.0,
1404,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=21518,2147,1280102400000.0,,Baglung-Burtibang(Burtiwang) rd,Baglung-Burtibang and Baglung-Kushmishera roads have also been obstructed.,Baglung-Burtibang(Burtiwang) rd,25km,landslide,downpour,medium,unknown,0.0,,,,,GLC,2147,28.3034,83.3773,Nepal,NP,Dhawalagiri,Nisi Khola,16.0,1396310400000.0,
1407,Badal Nepal,http://badalnepal.us/62589#sthash.gr7GwNWn.dpbs,9012,1468623600000.0,23:00,"Ghaiyabari, Tapethok, Taplejung district, Nepal","A woman has gone missing in her attempt to escape a mudslide at a steep slope at Ghaiyabari, Tapethok VDC in Taplejung district.Manita Rai, 28, from Tapethok-8 has gone missing while trying to escape the mudslide taking place above her house, Nupu Sherpa, a local said.The place is two days’ trek from the district headquarters. Rai had run away from her house when the mudslide started taking place right above the house all of a sudden last night. There are five houses at the place.Police have been mobilized to the place from the Siwa police post, Chief of the Taplejung District Police Office, Ram Bahadur KC, said. RSS","Ghaiyabari, Tapethok, Taplejung district, Nepal",25km,mudslide,rain,medium,natural_slope,0.0,0.0,,,,GLC,9012,27.5138,87.8086,Nepal,NP,Mechi,Libang,20.84,1468864541000.0,
1410,www.business-standard.com,http://www.business-standard.com/article/current-affairs/mudslides-block-nh-2-in-nagaland-113100700032_1.html,5575,1381014000000.0,23:00,"Chiechama, Nagaland","Continuous rainfall has caused massive mudslides blockingNH-2 between Kohima and Botsa in Nagaland, official sources said today. The mudslides on late last night has caused huge inconvenience, additional deputy commissioner Chiephobozou sub-division Bodeno Mero said. She said around 60 to 70 vehicles were stranded along the stretch since this morning. An electrical post was also damaged due to mudslide and power lines were cut off in and around Botsa area to avoid any mishap. Stating that all efforts are being made to see that the highway is cleared with PWD workers put to service, she however cautioned the public travelling on NH-2 of delayed journey. She expressed fear that the mudslides would continue till the rain stopped.","Chiechama, Nagaland",5km,mudslide,continuous_rain,medium,unknown,0.0,,,,,GLC,5575,25.8266,94.1497,India,IN,Nagaland,Naga Hills,6.32,1396310400000.0,
1417,India Times,http://www.indiatimes.com/news/india/caught-in-a-landslide-near-manali-a-group-of-brave-travellers-builds-road-helps-others-325022.html,9924,1498953600000.0,,Landslide temporarily strands travelers near Langza,"Landslide blocks road linking Langza with Manali, travelers stranded + forced to repair  road themselves","Langza, Lahaul and Spiti, Himachal Pradesh, India",5km,landslide,rain,small,above_road,0.0,0.0,,,Article has Instagram video of travelers organizing road repair,GLC,,32.26186432,78.0685005,India,IN,Himachal Pradesh,Luling,3.76,1499095069000.0,
1420,E-Pao,http://e-pao.net/GP.asp?src=30..300815.aug15,7910,1438387200000.0,,Chandel,Khengjoy village under sub-division headquarter in Chandel district has remained totally cut-off after a major landslide that occurred on August 1 on a 3 km long road stretch from Kemdo to Maokot Khengjoi.,Chandel,10km,landslide,unknown,medium,above_road,0.0,0.0,,,,GLC,7910,24.3481,94.1146,India,IN,Manipur,Saibom,8.61,1467221720000.0,
1427,Daily India,http://www.dailyindia.com/show/176095.php/Frequent-landslides-in-Bengal-Sikkim-damage-highways,274,1190246400000.0,,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",Roads were in deplorable condition after multiple days of heavy rain caused landslides in area,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",50km,landslide,rain,medium,unknown,,,,,,GLC,274,27.0875,88.4572,India,IN,West Bengal,Kalimpong,2.55,1396310400000.0,
1438,dailyhunt,https://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/j+k+highway+closed+due+to+landslide+over+100+vehicles+stranded-newsid-98012662,14538,1538007442000.0,unknown,Ramban Landslide,Massive landslide occurred on the Jammu-Srinagar National Highway between Banihal and Ramban stranding hundreds of vehicles.," Jammu -Srinagar National Highway, between Ramban and Baniha ",10km,landslide,unknown,medium,above_road,,,,,,GLC,,33.38281992,75.20064617,India,IN,Jammu and Kashmir,Gund,5.68,1592439443000.0,
1440,www.hindustantimes.com,http://www.hindustantimes.com/India-news/HimachalPradesh/Landslides-bring-traffic-to-halt-in-Sirmaur/Article1-1077377.aspx,4927,1371340800000.0,,"National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh","Several roads leading to remote areas of Sirmaur district were reportedly blocked due to landslides triggered by heavy rain in the district on Sunday. National Highway-72 B between Paonta Sahib and Shillai remained blocked for many hours; the traffic was not restored till the evening. Twelve roads in remote areas of the district remained blocked throughout the day. Though 20 cattle heads have reportedly been washed away in flashfloods, no loss of life has been reported so far. Deputy commissioner Priyatu Mandal has issued an advisory, asking people living along Yamuna river and other rivulets to be cautious.","National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh",25km,landslide,rain,medium,unknown,0.0,,,,,GLC,4927,30.5728,77.6521,India,IN,Himachal Pradesh,Chuharpur,16.39,1396310400000.0,
